,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
Lake_City,-0.004160714285714289,-0.02702346041055717,-0.04167182662538702,0.012450592885375495,-0.0384848484848485,0.020384615384615355,0.016428571428571376,0.007333333333333325,0.01354166666666666,-0.013333333333333332,-0.022309582309582313,-0.012777777777777777,30.2675,-82.6306
Camden,-0.006742424242424243,0.020988175675675673,0.00500000000000001,0.028477011494252885,-0.024687500000000015,-0.02417674418604652,0.0075499999999999925,0.011414728682170541,-0.011134099616858231,0.0033391304347826093,-0.02754742547425474,0.03848164627363737,33.6139,-92.8531
Hillsboro,0.02720085470085469,0.0014835164835165005,0.013494186046511633,0.010000000000000004,-0.02333333333333333,0.011333333333333332,-0.0034188311688311676,0.004472222222222225,-0.011664473684210528,0.0014814814814814745,0.013043478260869568,0.011083333333333332,32.0728,-97.0931
Phoenix_Area,0.002899159663865547,-3.348214285714286e-05,-0.014999999999999979,0.0,0.0,0.0,0.0037638888888888887,0.006516683518705765,-0.00535897435897436,-0.006624999999999999,-0.0030723684210526275,-0.0021651785714285696,33.6194,-110.9208
Marshall,-0.01613636363636364,-0.0324962962962963,-0.01459064327485381,0.015088682432432433,0.0019047619047619065,0.01983870967741931,0.026111111111111113,0.012583333333333346,0.02037868162692847,-0.008403361344537823,-0.0013333333333333346,0.020263157894736844,35.8136,-82.6864
Subiaco,0.02196153846153846,-0.004907407407407407,0.013940972222222212,0.015339366515837111,0.016400000000000005,-0.03000000000000002,0.028324074074074064,0.008324786324786324,-0.031686909581646425,-0.0154420731707317,-0.01756666666666666,0.022124060150375942,35.3233,-93.6356
Hobart_Municipal_AP,-0.003478260869565218,0.0013636363636363635,-0.006153846153846159,0.003452380952380942,-0.015608695652173918,0.01400000000000002,0.020000000000000004,-0.005714285714285712,-0.0050000000000000044,0.005630434782608696,-0.0031578947368421082,0.003888888888888889,35.0417,-99.0894
Tucumcari_4_NE_,-0.0005555555555555561,0.0,0.0,-0.004999999999999998,0.006666666666666672,-0.008888888888888898,-0.007826086956521736,0.002416666666666639,-0.01200000000000001,0.0061363636363636264,-0.004495798319327731,0.007727272727272728,35.2281,-103.7394
Death_Valley_National_Park,4.0064102564102564e-05,0.0,-0.002799107142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5383,-117.0936
Hopewell,-0.016282051282051284,-0.018823529411764697,-0.0024941724941724905,0.022142857142857148,0.010444444444444438,0.05700000000000001,0.03318181818181819,0.03951219512195122,0.004285714285714258,0.023923076923076908,0.001972222222222224,0.021882352941176485,37.3364,-77.2842
Neosho,0.015000000000000013,0.004279176201373001,-0.0003448275862068892,0.02089389534883721,0.06682291666666668,-0.013766891891891904,0.039016129032258096,0.0010394265232974956,0.00035714285714284955,-0.020729442970822277,-0.03274436090225564,-0.004857142857142868,36.8681,-94.3681
Las_Animas,0.0018181818181818197,-0.0021583850931677015,-0.001611721611721613,0.009999999999999998,-0.017991071428571426,0.0025000000000000022,0.0056971153846153925,0.012807881773399015,-0.0044315245478036185,0.005384615384615372,-0.0046410256410256406,0.0,38.1406,-103.2272
Blanding,0.003928571428571436,0.005970307529162249,-0.00797165200391007,-0.0027097902097902096,-0.0012121212121212097,-0.0020714285714285713,0.003541666666666666,0.014714587737843551,0.00424812030075188,-0.0034374999999999996,-0.009721798780487807,0.007783783783783783,37.6644,-109.4794
Yosemite_National_Park_Area,-0.029602272727272727,-0.00747967479674797,0.02103623188405796,0.024347826086956518,0.007746148459383755,-0.009259259259259259,0.0,0.0,-0.013009049773755657,-0.02,-0.06969696969696969,-0.03157894736842108,37.7169,-119.6653
Saluda,-0.03364285714285714,-0.008181818181818179,-0.0327375,0.0009545454545454553,-0.009217171717171731,0.003090909090909095,-0.02022727272727271,0.005000000000000001,0.02851351351351351,-0.011885964912280726,0.013333333333333326,0.01906250000000001,34.0542,-81.775
Clarksdale,0.015000000000000008,0.03375,-0.027272727272727258,0.04869565217391301,0.004666666666666656,-0.04295454545454545,0.004401709401709403,0.013181818181818183,-0.004285714285714289,0.03444444444444442,-0.042608695652173914,0.02846153846153847,34.3017,-90.5644
Portales,-1.1133102424542307e-05,0.0023303167420814478,0.0019047619047619052,0.0,0.0022880371660859407,-0.004472727272727274,-0.0065476190476190495,-0.009410138248847923,0.0,0.0016000000000000014,-0.010000000000000002,-0.00044358178053830247,34.2308,-103.3375
Springerville,0.0018385416666666667,0.0,-0.00584349593495935,0.0,0.0,0.0,0.017500000000000016,0.007499999999999999,-0.0012499999999999942,-0.004219896331738438,0.0007596153846153846,0.004974999999999993,34.1331,-109.1331
Ojai,-0.0065591397849462385,-0.015303571428571434,-0.04479619565217391,0.002142857142857143,0.0014550264550264548,0.0,0.0,0.0,0.0,0.0,-0.009838709677419354,-0.01457516339869281,34.4503,-119.2439
